Date,Title,Artist
2005-02-12,I Just Wanna Live,Good Charlotte
2005-02-12,Scars,Papa Roach
2005-02-12,Somewhere Only We Know,Keane
2005-02-12,Collide,Howie Day
2005-02-12,Goin' Crazy,Natalie
2005-02-12,It's Getting Better All The Time,Brooks & Dunn
2005-02-12,Anything But Mine,Kenny Chesney
2005-02-12,Hate It Or Love It,The Game Featuring 50 Cent
2005-02-12,I'm Not Okay (I Promise),My Chemical Romance
2005-02-12,Little Sister,Queens Of The Stone Age
2005-02-12,If Heaven,Andy Griggs
2005-02-12,You And Me,Lifehouse
2005-02-12,Pain,Jimmy Eat World
2005-02-12,Home,Three Days Grace
2005-02-12,La La,Ashlee Simpson
2005-02-12,Baby Mama,Fantasia
2005-02-12,1 Thing,Amerie
2005-02-19,Lonely No More,Rob Thomas
2005-02-19,Signs,Snoop Dogg Featuring Charlie Wilson & Justin Timberlake
2005-02-19,My Give A Damn's Busted,Jo Dee Messina
2005-02-19,Down And Out,Cam'Ron Featuring Kanye West & Syleena Johnson
2005-02-19,Almost,Bowling For Soup
2005-02-19,Landed,Ben Folds
2005-02-19,Trying To Find Atlantis,Jamie O'Neal
2005-02-26,We Will Become Silhouettes,The Postal Service
2005-02-26,Lonely,Akon
2005-02-26,Honkytonk U,Toby Keith
2005-02-26,Wait (The Whisper Song),Ying Yang Twins
2005-02-26,Jerk It Out,Caesars
2005-02-26,Baby I'm Back,Baby Bash Featuring Akon
2005-02-26,What's A Guy Gotta Do,Joe Nichols
2005-03-05,Across The Universe,Various Artists
2005-03-05,Number One Spot,Ludacris
2005-03-05,"Sitting, Waiting, Wishing",Jack Johnson
2005-03-05,Switch,Will Smith
2005-03-05,Slow Down,Bobby Valentino
2005-03-05,In The Kitchen,R. Kelly
2005-03-05,Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi
2005-03-05,U Already Know,112 Featuring Foxy Brown
2005-03-05,Shut Up,Simple Plan
2005-03-12,God's Will,Martina McBride
2005-03-19,Still Tippin',Mike Jones Featuring Slim Thug & Paul Wall
2005-03-19,Hold You Down,Jennifer Lopez Featuring Fat Joe
2005-03-19,I'm A Hustla,Cassidy
2005-03-19,How Do You Get That Lonely,Blaine Larsen
2005-03-19,How Could You,Mario
2005-03-19,The Widow,The Mars Volta
2005-03-26,Oh,Ciara Featuring Ludacris
2005-03-26,E-Pro,Beck
2005-03-26,Just A Lil Bit,50 Cent
2005-03-26,Piggy Bank,50 Cent
2005-03-26,Again,Faith Evans
2005-03-26,Homewrecker,Gretchen Wilson
2005-03-26,Why Do You Love Me,Garbage
2005-03-26,Drugs Or Jesus,Tim McGraw
2005-03-26,Songs About Me,Trace Adkins
2005-03-26,Be Yourself,Audioslave
2005-04-02,Cry Baby/Piece Of My Heart,Melissa Etheridge & Joss Stone
2005-04-02,Bitches Ain't S**t,Ben Folds
2005-04-02,Hollaback Girl,Gwen Stefani
2005-04-02,Girl,Destiny's Child
2005-04-02,Lot Of Leavin' Left To Do,Dierks Bentley
2005-04-02,Sooner Or Later,Breaking Benjamin
2005-04-09,The Hand That Feeds,Nine Inch Nails
2005-04-09,So What The Fuss,Stevie Wonder
2005-04-09,La Camisa Negra,Juanes
2005-04-09,Holiday,Green Day
2005-04-16,Beverly Hills,Weezer
2005-04-16,Devils & Dust,Bruce Springsteen
2005-04-16,B.Y.O.B.,System Of A Down
2005-04-16,We Belong Together,Mariah Carey
2005-04-16,Grind With Me,Pretty Ricky
2005-04-16,Chariot,Gavin DeGraw
2005-04-16,So Much More,Fat Joe
2005-04-16,Sometimes You Can't Make It On Your Own,U2
2005-04-16,Do Somethin',Britney Spears
2005-04-23,Incomplete,Backstreet Boys
2005-04-23,Behind These Hazel Eyes,Kelly Clarkson
2005-04-23,Making Memories Of Us,Keith Urban
2005-04-23,You'll Be There,George Strait
2005-04-23,Don't Phunk With My Heart,The Black Eyed Peas
2005-04-30,Under Pressure,The Used And My Chemical Romance
2005-04-30,Hello Tomorrow,Squeak E. Clean Featuring Karen O
2005-04-30,MJB Da MVP,Mary J. Blige Featuring The Game & 50 Cent
2005-04-30,Happy?,Mudvayne
2005-04-30,Breathe (2 AM),Anna Nalick
2005-04-30,Cater 2 U,Destiny's Child
2005-04-30,I'll Take That As A Yes (The Hot Tub Song),Phil Vassar
2005-04-30,Class Reunion (That Used To Be Us),Lonestar
2005-04-30,Free Yourself,Fantasia
2005-05-07,Speed Of Sound,Coldplay
2005-05-07,When You Tell Me That You Love Me,American Idol Finalists Season 4
2005-05-07,Blue Orchid,The White Stripes
2005-05-07,Fast Cars And Freedom,Rascal Flatts
2005-05-07,All Because Of You,Marques Houston Featuring Young Rome
2005-05-07,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes
2005-05-07,La Tortura,Shakira Feat. Alejandro Sanz
2005-05-07,Give Me That,Webbie Featuring Bun B
2005-05-07,Trapped In The Closet,R. Kelly
2005-05-14,American Baby,Dave Matthews Band
2005-05-14,Best Of You,Foo Fighters
2005-05-21,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop
2005-05-21,She's No You,Jesse McCartney
2005-05-21,Diamonds From Sierra Leone,Kanye West
2005-05-21,Untitled (How Can This Happen To Me?),Simple Plan
2005-05-21,I Can't Stop Loving You,Kem
2005-05-21,Home,Michael Buble
2005-05-21,Something More,Sugarland
2005-05-28,Errtime,Nelly Featuring Jung Tru & King Jacob
2005-05-28,Feel Good Inc,Gorillaz
2005-05-28,Let Me Hold You,Bow Wow Featuring Omarion
2005-05-28,How To Deal,Frankie J
2005-05-28,Must Be Nice,Lyfe Jennings
2005-05-28,If Something Should Happen,Darryl Worley
2005-06-04,As Good As I Once Was,Toby Keith
2005-06-04,Listen To Your Heart,D.H.T.
2005-06-04,Get It Poppin',Fat Joe Featuring Nelly
2005-06-04,Back Then,Mike Jones
2005-06-04,Keg In The Closet,Kenny Chesney
2005-06-04,Dreams,The Game
2005-06-04,Make Her Feel Good,Teairra Mari
2005-06-04,Pickin' Wildflowers,Keith Anderson
2005-06-11,Pimpin' All Over The World,Ludacris Featuring Bobby Valentino
2005-06-11,Mississippi Girl,Faith Hill
2005-06-11,Goodbye Time,Blake Shelton
2005-06-11,Pon de Replay,Rihanna
2005-06-11,Don't Ask Me How I Know,Bobby Pinson
2005-06-18,Ass Like That,Eminem
2005-06-18,ASAP,T.I.
2005-06-18,Energy,Natalie Featuring Baby Bash
2005-06-18,Like You,Daddy Yankee
2005-06-25,So Seductive,Tony Yayo Featuring 50 Cent
2005-06-25,Right Here,Staind
2005-06-25,Summer Nights,Lil Rob
2005-06-25,Pump It,The Black Eyed Peas
2005-06-25,Dem Boyz,Boyz N Da Hood
2005-06-25,Touch,Omarion
2005-07-02,Inside Your Heaven,Carrie Underwood
2005-07-02,Alcohol,Brad Paisley
2005-07-02,Don't Worry 'Bout A Thing,SHeDAISY
2005-07-02,Play Something Country,Brooks & Dunn
2005-07-02,"Sugar, We're Goin' Down",Fall Out Boy
2005-07-02,These Words,Natasha Bedingfield
2005-07-09,Inside Your Heaven,Bo Bice
2005-07-09,Go!,Common
2005-07-09,Playa's Only,R. Kelly Featuring The Game
2005-07-09,My Sister,Reba McEntire
2005-07-09,An Honest Mistake,The Bravery
2005-07-09,Helena (So Long & Goodnight),My Chemical Romance
2005-07-09,A Real Fine Place To Start,Sara Evans
2005-07-09,The Talkin' Song Repair Blues,Alan Jackson
2005-07-16,These Boots Are Made For Walkin',Jessica Simpson
2005-07-16,Tell Me,Bobby Valentino
2005-07-16,Cool,Gwen Stefani
2005-07-16,Do You Want Fries With That,Tim McGraw
2005-07-16,Help Somebody,Van Zant
2005-07-16,Badd,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark
2005-07-16,Wordplay,Jason Mraz
2005-07-16,This Is How A Heart Breaks,Rob Thomas
2005-07-16,Gotta Getcha,Jermaine Dupri
2005-07-23,Sgt. Pepper's Lonely Hearts Club Band,Paul McCartney With U2
2005-07-23,Play,David Banner
2005-07-23,And Then What,Young Jeezy Featuring Mannie Fresh
2005-07-23,Notice Me,NB Ridaz Featuring Angelina
2005-07-23,Outta Control (Remix),50 Cent Feat. Mobb Deep
2005-07-30,Shake It Off,Mariah Carey
2005-07-30,Just The Girl,The Click Five
2005-07-30,Be My Escape,Relient K
2005-07-30,Gold Digger,Kanye West Featuring Jamie Foxx
2005-07-30,Welcome To Jamrock,"Damian ""Jr. Gong"" Marley"
2005-07-30,Somebody's Hero,Jamie O'Neal
2005-07-30,Remedy,Seether
2005-08-06,Like You,Bow Wow Featuring Ciara
2005-08-06,Dirty Little Secret,The All-American Rejects
2005-08-06,Your Body,Pretty Ricky
2005-08-06,I'm A King,P$C Featuring T.I. & Lil Scrappy
2005-08-06,Charlie Last Name: Wilson,Charlie Wilson
2005-08-06,Something To Be Proud Of,Montgomery Gentry
2005-08-06,Georgia Rain,Trisha Yearwood
2005-08-06,Wake Me Up When September Ends,Green Day
2005-08-06,Redneck Yacht Club,Craig Morgan
2005-08-13,Don't Lie,The Black Eyed Peas
2005-08-13,Gotta Make It,Trey Songz Featuring Twista
2005-08-13,Belly Dancer (Bananza),Akon
2005-08-13,Stay With Me (Brass Bed),Josh Gracin
2005-08-13,Hicktown,Jason Aldean
2005-08-20,Seasons Of Love,Cast Of Rent
2005-08-20,Axel F,Crazy Frog
2005-08-20,My Humps,The Black Eyed Peas
2005-08-20,All Jacked Up,Gretchen Wilson
2005-08-20,Girl,Beck
2005-08-27,Naked,Marques Houston
2005-08-27,Nada Es Para Siempre,Luis Fonsi
2005-08-27,Run It!,Chris Brown
2005-08-27,All These Things That I've Done,The Killers
2005-08-27,Sittin' Sidewayz,Paul Wall Featuring Big Pokey
2005-08-27,I'm Sprung,T-Pain
2005-09-03,Wake Up,Hilary Duff
2005-09-03,Soul Survivor,Young Jeezy Featuring Akon
2005-09-03,Just Want You To Know,Backstreet Boys
2005-09-03,Shake,Ying Yang Twins Featuring Pitbull
2005-09-03,Probably Wouldn't Be This Way,LeAnn Rimes
2005-09-03,Best I Ever Had,Gary Allan
2005-09-03,Because Of You,Kelly Clarkson
2005-09-10,Photograph,Nickelback
2005-09-10,Do You Want To,Franz Ferdinand
2005-09-10,Footprints,T.O.K.
2005-09-10,Better Life,Keith Urban
2005-09-10,Girl Tonite,Twista Featuring Trey Songz
2005-09-17,We Be Burnin',Sean Paul
2005-09-17,Outta Control,50 Cent
2005-09-17,More Than Words,Frankie J
2005-09-17,Doesn't Remind Me,Audioslave
2005-09-24,Boyfriend,Ashlee Simpson
2005-09-24,Skin (Sarabeth),Rascal Flatts
2005-09-24,If You Were Mine,Marcos Hernandez
2005-09-24,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
2005-09-24,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
2005-09-24,You're Like Comin' Home,Lonestar
2005-09-24,Come A Little Closer,Dierks Bentley
2005-09-24,Lighters Up,Lil' Kim
2005-10-01,Unbreakable,Alicia Keys
2005-10-01,Stars,Switchfoot
2005-10-01,Fix You,Coldplay
2005-10-01,Good Is Good,Sheryl Crow
2005-10-01,Who Did You Think I Was,John Mayer Trio
2005-10-01,Good Times,Tommy Lee
2005-10-01,I'm Feeling You,Santana Featuring Michelle Branch & The Wreckers
2005-10-01,Laffy Taffy,D4L
2005-10-08,Better Days,Goo Goo Dolls
2005-10-08,Have A Nice Day,Bon Jovi
2005-10-08,Who You'd Be Today,Kenny Chesney
2005-10-08,One Wish,Ray J
2005-10-08,I Should Have Cheated,Keyshia Cole
2005-10-08,Here We Go,Trina Featuring Kelly Rowland
2005-10-08,Shine On,Ryan Cabrera
2005-10-08,Stricken,Disturbed
2005-10-08,Like We Never Loved At All,Faith Hill
2005-10-08,Billy's Got His Beer Goggles On,Neal McCoy
2005-10-08,Soul Meets Body,Death Cab For Cutie
2005-10-15,There It Go! (The Whistle Song),Juelz Santana
2005-10-15,Big Blue Note,Toby Keith
2005-10-15,Tequila Makes Her Clothes Fall Off,Joe Nichols
2005-10-15,Twisted Transistor,Korn
2005-10-15,I Don't Care,Ricky Martin Featuring Fat Joe & Amerie
2005-10-15,Presidential,YoungBloodZ
2005-10-22,Pretty Vegas,INXS
2005-10-22,Don't Forget About Us,Mariah Carey
2005-10-22,Stickwitu,The Pussycat Dolls
2005-10-22,Good Ride Cowboy,Garth Brooks
2005-10-22,If It's Lovin' That You Want,Rihanna
2005-10-22,Juicebox,The Strokes
2005-10-22,Must Be Doin' Somethin' Right,Billy Currington
2005-10-29,Boondocks,Little Big Town
2005-10-29,Only,Nine Inch Nails
2005-10-29,Miss Me Baby,Chris Cagle
2005-10-29,And I,Ciara
2005-10-29,Precious,Depeche Mode
2005-10-29,Heard 'Em Say,Kanye West Featuring Adam Levine
2005-11-05,Hung Up,Madonna
2005-11-05,"Dance, Dance",Fall Out Boy
2005-11-05,Hustler's Ambition,50 Cent
2005-11-05,Don't Bother,Shakira
2005-11-05,L.O.V.E.,Ashlee Simpson
2005-11-05,Luxurious,Gwen Stefani
2005-11-05,Honky Tonk Badonkadonk,Trace Adkins
2005-11-05,Hypnotize,System Of A Down
2005-11-05,Turn It Up,Chamillionaire Featuring Lil' Flip
2005-11-05,Can I Have It Like That,Pharrell Featuring Gwen Stefani
2005-11-05,She Let Herself Go,George Strait
2005-11-12,Window Shopper,50 Cent
2005-11-12,DOA,Foo Fighters
2005-11-12,Bat Country,Avenged Sevenfold
2005-11-12,You're Beautiful,James Blunt
2005-11-19,"Jesus, Take The Wheel",Carrie Underwood
2005-11-19,Check On It,Beyonce Featuring Slim Thug
2005-11-19,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
2005-11-19,Fireman,Lil Wayne
2005-11-19,Save Me,Shinedown
2005-11-26,Confessions Of A Broken Heart (Daughter To Father),Lindsay Lohan
2005-11-26,When I'm Gone,Eminem
2005-11-26,Kryptonite (I'm On It),Purple Ribbon All-Stars
2005-11-26,Be Without You,Mary J. Blige
2005-12-03,Comin' To Your City,Big & Rich
2005-12-03,When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton
2005-12-03,Rompe,Daddy Yankee
2005-12-03,Just Might (Make Me Believe),Sugarland
2005-12-03,Gotta Go,Trey Songz
2005-12-03,My Old Friend,Tim McGraw
2005-12-03,(I Never Promised You A) Rose Garden,Martina McBride
2005-12-03,Unpredictable,Jamie Foxx Featuring Ludacris
2005-12-10,Unwritten,Natasha Bedingfield
2005-12-10,So Sick,Ne-Yo
2005-12-10,Looking For You,Kirk Franklin
2005-12-10,Rodeo,Juvenile
2005-12-10,Rakata,Wisin & Yandel
2005-12-17,Everytime We Touch,Cascada
2005-12-17,Nasty Girl,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm"
2005-12-17,Hit The Floor,Twista Featuring Pitbull
2005-12-17,Ella Y Yo,Aventura Featuring Don Omar
2005-12-17,Kerosene,Miranda Lambert
2005-12-17,Welcome 2 Detroit,Trick-Trick Featuring Eminem
2005-12-24,Shake That,Eminem Featuring Nate Dogg
2005-12-24,Amor Eterno,Cristian Castro
2005-12-24,Fresh Azimiz,Bow Wow Featuring J-Kwon & Jermaine Dupri
2005-12-24,Touch It,Busta Rhymes
2005-12-24,Perfect Situation,Weezer
2005-12-24,Your Man,Josh Turner
2005-12-24,Believe,Brooks & Dunn
2005-12-31,Georgia,Ludacris & Field Mob Featuring Jamie Foxx
2005-12-31,Tonight I Wanna Cry,Keith Urban
2005-12-31,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
2005-12-31,Yo (Excuse Me Miss),Chris Brown
2005-12-31,She Don't Tell Me To,Montgomery Gentry
2006-01-01,Who I Am Hates Who I've Been,Relient K
2006-01-01,Dare,Gorillaz Featuring Shaun Ryder
2006-01-01,My Hood,Young Jeezy
2006-01-08,The Ghost Of You,My Chemical Romance
2006-01-15,Temperature,Sean Paul
2006-01-15,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
2006-01-15,Ever The Same,Rob Thomas
2006-01-15,Get Drunk And Be Somebody,Toby Keith
2006-01-15,Walk Away,Kelly Clarkson
2006-01-22,We Belong Together,Gavin DeGraw
2006-01-22,Upside Down,Jack Johnson
2006-01-22,Cheatin',Sara Evans
2006-01-22,Living In Fast Forward,Kenny Chesney
2006-01-22,Who Says You Can't Go Home,Bon Jovi
2006-01-22,Oh Yes (aka 'Postman'),Juelz Santana
2006-01-22,Nobody But Me,Blake Shelton
2006-01-29,Lights And Sounds,Yellowcard
2006-01-29,Love,Keyshia Cole
2006-01-29,Breaking Free,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens"
2006-01-29,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
2006-01-29,Beep,The Pussycat Dolls Featuring will.i.am
2006-01-29,King Without A Crown,Matisyahu
2006-01-29,Get'cha Head In The Game,Andrew Seeley
2006-02-05,Start Of Something New,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens"
2006-02-05,We're All In This Together,High School Musical Cast
2006-02-05,What I've Been Looking For,Lucas Grabeel & Ashley Tisdale
2006-02-05,Stick To The Status Quo,High School Musical Cast
2006-02-05,Goodbye For Now,P.O.D.
2006-02-05,Bop To The Top,Lucas Grabeel & Ashley Tisdale
2006-02-05,What I've Been Looking For (Reprise),Andrew Seeley & Vanessa Anne Hudgens
2006-02-05,When There Was Me And You,Vanessa Anne Hudgens
2006-02-05,Crash,Gwen Stefani
2006-02-05,Move Along,The All-American Rejects
2006-02-12,For You I Will (Confidence),Teddy Geiger
2006-02-12,In My Mind,Heather Headley
2006-02-12,What Hurts The Most,Rascal Flatts
2006-02-12,Betcha Can't Do It Like Me,D4L
2006-02-12,Goodbye My Lover,James Blunt
2006-02-19,Stupid Girls,P!nk
2006-02-19,Bad Day,Daniel Powter
2006-02-19,In The Sun,Michael Stipe
2006-02-19,SOS,Rihanna
2006-02-19,Touch The Sky,Kanye West Featuring Lupe Fiasco
2006-02-19,Girl Next Door,Saving Jane
2006-02-19,Talk,Coldplay
2006-02-19,Over My Head (Cable Car),The Fray
2006-02-19,Animals,Nickelback
2006-02-19,Bring Out The Freak In You,Lil Rob
2006-02-26,Cowboys Are Frequently Secretly (Fond Of Each Other),Willie Nelson
2006-02-26,Ridin',Chamillionaire Featuring Krayzie Bone
2006-02-26,Poppin' My Collar,Three 6 Mafia
2006-02-26,Rush,Aly & AJ
2006-02-26,Tell Me When To Go,E-40 Featuring Keak Da Sneak
2006-03-05,Black Sweat,Prince
2006-03-05,Sorry,Madonna
2006-03-05,Best Friend,50 Cent & Olivia
2006-03-05,What's Left Of Me,Nick Lachey
2006-03-05,Control Myself,LL Cool J Featuring Jennifer Lopez
2006-03-05,Wings Of A Butterfly,HIM
2006-03-12,Always On Your Side,Sheryl Crow & Sting
2006-03-12,What You Know,T.I.
2006-03-12,Can't Let Go,Anthony Hamilton
2006-03-12,Savin' Me,Nickelback
2006-03-12,Girl,Paul Wall
2006-03-12,Why,Jason Aldean
2006-03-12,I Write Sins Not Tragedies,Panic! At The Disco
2006-03-12,When You're Mad,Ne-Yo
2006-03-19,In The Deep,Bird York
2006-03-19,Black Horse & The Cherry Tree,KT Tunstall
2006-03-19,4 Minutes,Avant
2006-03-19,Wherever You Are,Jack Ingram
2006-03-19,The Real Thing,Bo Bice
2006-03-19,Something's Gotta Give,LeAnn Rimes
2006-03-26,World Wide Suicide,Pearl Jam
2006-03-26,Hips Don't Lie,Shakira Featuring Wyclef Jean
2006-03-26,The Only Difference Between Martyrdom And Suicide Is Press Coverage,Panic! At The Disco
2006-03-26,Settle For A Slowdown,Dierks Bentley
2006-03-26,Conceited (There's Something About Remy),Remy Ma
2006-03-26,Wasteland,10 Years
2006-03-26,Gettin' Some,Shawnna
2006-03-26,Gold Lion,Yeah Yeah Yeahs
2006-04-02,Beautiful Love,The Afters
2006-04-02,"A Little Less Sixteen Candles, A Little More Touch Me",Fall Out Boy
2006-04-02,The Lucky One,Faith Hill
2006-04-02,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
2006-04-02,Llame Pa' Verte,Wisin & Yandel
2006-04-09,When The Stars Go Blue,Tim McGraw
2006-04-09,Back Like That,Ghostface Killah Featuring Ne-Yo
2006-04-09,Lo Que Son Las Cosas,Anais
2006-04-09,Speak,Godsmack
2006-04-09,How To Save A Life,The Fray
2006-04-09,Lo Que Me Gusta A Mi,Juanes
2006-04-09,It's Goin' Down,Yung Joc
2006-04-09,Say I,Christina Milian Featuring Young Jeezy
2006-04-09,Size Matters (Someday),Joe Nichols
2006-04-16,Dani California,Red Hot Chili Peppers
2006-04-16,Every Day Is Exactly The Same,Nine Inch Nails
2006-04-16,Gimme That,Chris Brown Featuring Lil Wayne
2006-04-16,Where'd You Go,Fort Minor Featuring Holly Brook
2006-04-16,So What,Field Mob Featuring Ciara
2006-04-16,Stay With You,Goo Goo Dolls
2006-04-16,Enough Cryin,Mary J. Blige Featuring Brook-Lyn
2006-04-16,Every Time I Hear Your Name,Keith Anderson
2006-04-16,Good Luck Charm,Jagged Edge
2006-04-23,Let U Go,Ashley Parker Angel
2006-04-23,Why You Wanna,T.I.
2006-04-23,The Seashores Of Old Mexico,George Strait
2006-04-23,Hate Me,Blue October
2006-04-23,The Adventure,Angels & Airwaves
2006-04-23,Say Somethin',Mariah Carey Featuring Snoop Dogg
2006-04-23,Me & U,Cassie
2006-04-23,Hustler Musik,Lil Wayne
2006-04-23,Summertime,Kenny Chesney
2006-04-23,Save The Last Dance For Me,Michael Buble
2006-04-30,Not Ready To Make Nice,Dixie Chicks
2006-04-30,We Run This,Missy Elliott
2006-04-30,MakeDamnSure,Taking Back Sunday
2006-04-30,DJ Play A Love Song,Jamie Foxx Featuring Twista
2006-04-30,Torn,LeToya
2006-04-30,Animal I Have Become,Three Days Grace
2006-04-30,Don't Forget To Remember Me,Carrie Underwood
2006-04-30,The World,Brad Paisley
2006-05-07,Unfaithful,Rihanna
2006-05-07,Last Day Of My Life,Phil Vassar
2006-05-07,Miss Murder,AFI
2006-05-14,Promiscuous,Nelly Furtado Featuring Timbaland
2006-05-14,Again And Again,Jewel
2006-05-14,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
2006-05-14,Doing Too Much,Paula DeAnda Featuring Baby Bash
2006-05-14,I Dare You,Shinedown
2006-05-14,Hustlin',Rick Ross
2006-05-14,Crazy,Gnarls Barkley
2006-05-14,Bossy,Kelis Featuring Too $hort
2006-05-14,Life Ain't Always Beautiful,Gary Allan
2006-05-14,Crazy Bitch,Buckcherry
2006-05-21,Buttons,The Pussycat Dolls Featuring Snoop Dogg
2006-05-21,"Steady, As She Goes",The Raconteurs
2006-05-21,Me And My Gang,Rascal Flatts
2006-05-21,U And Dat,E-40 Featuring T-Pain & Kandi Girl
2006-05-28,Chasing Cars,Snow Patrol
2006-05-28,Soundtrack To Your Life,Ashley Parker Angel
2006-05-28,A Little Too Late,Toby Keith
2006-05-28,If You're Going Through Hell (Before The Devil Even Knows),Rodney Atkins
2006-05-28,I Am Not My Hair,India.Arie
2006-05-28,Snow ((Hey Oh)),Red Hot Chili Peppers
2006-05-28,I Got You,Craig Morgan
2006-06-04,Wanted Dead Or Alive,Chris Daughtry
2006-06-04,Leave The Pieces,The Wreckers
2006-06-04,Takin' It To The Streets,Taylor Hicks
2006-06-04,Don't Wait,Dashboard Confessional
2006-06-04,Ridin' Rims,Dem Franchize Boyz
2006-06-04,Bring It On Home,Little Big Town
2006-06-04,(When You Gonna) Give It Up To Me,Sean Paul Feat. Keyshia Cole
2006-06-04,I Love My B****,Busta Rhymes Featuring will.i.am & Kelis
2006-06-11,Life Is A Highway,Rascal Flatts
2006-06-11,Kick Push,Lupe Fiasco
2006-06-11,One,Mary J. Blige And U2
2006-06-11,Shoulder Lean,Young Dro Featuring T.I.
2006-06-11,I Can't Unlove You,Kenny Rogers
2006-06-18,Ain't No Other Man,Christina Aguilera
2006-06-18,Holla At Me,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull"
2006-06-18,Single,Natasha Bedingfield
2006-06-18,"Mighty ""O""",OutKast
2006-06-18,Down,RKM & Ken-Y
2006-06-18,Why We Thugs,Ice Cube
2006-06-18,Crowded,Jeannie Ortega Featuring Papoose
2006-06-18,Sexy Love,Ne-Yo
2006-06-18,Angelito,Don Omar
2006-06-18,High,James Blunt
2006-06-25,Do I Make You Proud,Taylor Hicks
2006-06-25,Deja Vu,Beyonce Featuring Jay Z
2006-06-25,Pullin' Me Back,Chingy Featuring Tyrese
2006-06-25,Ghetto Story Chapter 2,Cham Featuring Alicia Keys
2006-06-25,Brand New Girlfriend,Steve Holy
2006-07-02,Stars Are Blind,Paris Hilton
2006-07-02,Call On Me,Janet & Nelly
2006-07-02,Coming Undone,Korn
2006-07-02,Is It Any Wonder?,Keane
2006-07-02,Hanging On,Cheyenne Kimball
2006-07-02,Swing,Trace Adkins
2006-07-09,Somewhere Over The Rainbow,Katharine McPhee
2006-07-09,A Public Affair,Jessica Simpson
2006-07-09,My Destiny,Katharine McPhee
2006-07-09,Put Your Records On,Corinne Bailey Rae
2006-07-09,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
2006-07-09,Would You Go With Me,Josh Turner
2006-07-09,Yee Haw,Jake Owen
2006-07-16,SexyBack,Justin Timberlake
2006-07-16,Bojangles,Pitbull
2006-07-16,8th Of November,Big & Rich
2006-07-16,How 'Bout You,Eric Church
2006-07-16,Saving Grace,Tom Petty
2006-07-23,Waiting On The World To Change,John Mayer
2006-07-23,Scotty Doesn't Know,Lustra
2006-07-23,Suddenly I See,KT Tunstall
2006-07-23,Sunshine And Summertime,Faith Hill
2006-07-23,The Riddle,Five For Fighting
2006-07-23,Lips Of An Angel,Hinder
2006-07-23,Gallery,Mario Vazquez
2006-07-30,Invisible,Ashlee Simpson
2006-07-30,Far Away,Nickelback
2006-07-30,Original Fire,Audioslave
2006-07-30,Labios Compartidos,Mana
2006-07-30,London Bridge,Fergie
2006-07-30,The Kill (Bury Me),30 Seconds To Mars
2006-07-30,Building Bridges,Brooks & Dunn With Sheryl Crow & Vince Gill
2006-07-30,Who Said,Hannah Montana
2006-07-30,Face Down,The Red Jumpsuit Apparatus
2006-07-30,I Call It Love,Lionel Richie
2006-07-30,Number One,Pharrell Featuring Kanye West
2006-07-30,S.E.X.,Lyfe Jennings
2006-07-30,"Why, Why, Why",Billy Currington
2006-08-06,The Diary Of Jane,Breaking Benjamin
2006-08-06,Need A Boss,Shareefa Featuring Ludacris
2006-08-06,Best Of Both Worlds,Hannah Montana
2006-08-06,Get Up,Ciara Featuring Chamillionaire
2006-08-13,About Us,Brooke Hogan Featuring Paul Wall
2006-08-13,Chain Hang Low,Jibbs
2006-08-13,Through Glass,Stone Sour
2006-08-13,Everytime Tha Beat Drop,Monica Featuring Dem Franchize Boyz
2006-08-13,Give It Away,George Strait
2006-08-20,When You Were Young,The Killers
2006-08-20,I Loved Her First,Heartland
2006-08-20,Say Goodbye,Chris Brown
2006-08-20,Entourage,Omarion
2006-08-20,Every Mile A Memory,Dierks Bentley
2006-08-20,Money Maker,Ludacris Featuring Pharrell
2006-08-20,That Girl,Frankie J Featuring Mannie Fresh & Chamillionaire
2006-08-27,Show Stopper,Danity Kane
2006-08-27,Call Me When You're Sober,Evanescence
2006-08-27,Show Me The Money,Petey Pablo
2006-08-27,Tell Me Baby,Red Hot Chili Peppers
2006-08-27,It's Okay (One Blood),The Game Featuring Junior Reid
2006-08-27,Too Little Too Late,JoJo
2006-09-03,Strut,The Cheetah Girls
2006-09-03,Sleep On It,Danity Kane
